frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
55.74,0.02,0.02,-7.07,-7.07,7.07,-0.18,7.09,7.09,7.09
56.29,-0.07,-0.07,-7.12,-7.12,7.12,-0.21,7.05,7.05,7.05
56.86,-0.15,-0.15,-7.16,-7.16,7.17,-0.23,7.02,7.02,7.01
57.42,-0.23,-0.23,-7.21,-7.21,7.21,-0.25,6.98,6.98,6.98
58.00,-0.32,-0.32,-7.26,-7.26,7.25,-0.28,6.93,6.94,6.94
58.58,-0.40,-0.40,-7.30,-7.30,7.29,-0.30,6.89,6.89,6.90
59.16,-0.48,-0.48,-7.34,-7.33,7.33,-0.33,6.85,6.85,6.85
59.76,-0.55,-0.55,-7.36,-7.36,7.36,-0.36,6.81,6.81,6.81
60.35,-0.62,-0.62,-7.39,-7.39,7.39,-0.38,6.77,6.77,6.77
60.96,-0.70,-0.70,-7.42,-7.42,7.42,-0.41,6.72,6.72,6.72
61.57,-0.77,-0.77,-7.44,-7.44,7.44,-0.43,6.67,6.67,6.67
62.18,-0.84,-0.84,-7.46,-7.46,7.46,-0.46,6.62,6.62,6.62
62.80,-0.91,-0.91,-7.48,-7.48,7.48,-0.49,6.57,6.57,6.57
63.43,-0.97,-0.97,-7.49,-7.49,7.50,-0.51,6.53,6.52,6.52
64.07,-1.04,-1.04,-7.51,-7.51,7.51,-0.54,6.47,6.47,6.47
64.71,-1.11,-1.11,-7.52,-7.52,7.52,-0.57,6.41,6.41,6.41
65.35,-1.17,-1.17,-7.52,-7.53,7.53,-0.59,6.36,6.35,6.35
66.01,-1.24,-1.24,-7.53,-7.53,7.53,-0.62,6.29,6.29,6.29
66.67,-1.30,-1.30,-7.53,-7.53,7.53,-0.65,6.23,6.23,6.23
67.33,-1.36,-1.36,-7.53,-7.53,7.53,-0.67,6.17,6.17,6.17
68.01,-1.42,-1.42,-7.53,-7.53,7.53,-0.70,6.11,6.11,6.11
68.69,-1.48,-1.48,-7.52,-7.52,7.52,-0.72,6.04,6.04,6.04
69.37,-1.54,-1.54,-7.51,-7.51,7.51,-0.75,5.97,5.97,5.97
70.07,-1.59,-1.59,-7.49,-7.50,7.50,-0.77,5.91,5.90,5.90
70.77,-1.65,-1.65,-7.48,-7.48,7.48,-0.80,5.83,5.84,5.83
71.48,-1.70,-1.70,-7.46,-7.46,7.46,-0.82,5.76,5.76,5.76
72.19,-1.75,-1.76,-7.43,-7.44,7.44,-0.84,5.69,5.69,5.68
72.91,-1.81,-1.81,-7.42,-7.41,7.41,-0.86,5.60,5.61,5.61
73.64,-1.86,-1.86,-7.39,-7.39,7.38,-0.88,5.52,5.53,5.53
74.38,-1.90,-1.90,-7.35,-7.35,7.35,-0.90,5.45,5.45,5.45
75.12,-1.95,-1.95,-7.32,-7.31,7.31,-0.92,5.36,5.37,5.37
75.87,-1.98,-1.98,-7.26,-7.27,7.27,-0.94,5.29,5.28,5.28
76.63,-2.02,-2.02,-7.22,-7.21,7.22,-0.95,5.20,5.20,5.20
77.40,-2.05,-2.05,-7.16,-7.16,7.16,-0.96,5.11,5.11,5.11
78.17,-2.08,-2.08,-7.10,-7.10,7.10,-0.97,5.02,5.02,5.02
78.95,-2.11,-2.10,-7.04,-7.03,7.03,-0.98,4.92,4.93,4.93
79.74,-2.12,-2.13,-6.95,-6.96,6.96,-0.98,4.84,4.83,4.83
80.54,-2.14,-2.14,-6.88,-6.88,6.88,-0.98,4.74,4.74,4.74
81.35,-2.15,-2.15,-6.79,-6.79,6.79,-0.97,4.64,4.64,4.64
82.16,-2.15,-2.15,-6.70,-6.70,6.70,-0.96,4.55,4.54,4.55
82.98,-2.15,-2.15,-6.60,-6.59,6.59,-0.94,4.44,4.45,4.45
83.81,-2.14,-2.14,-6.48,-6.49,6.49,-0.92,4.35,4.34,4.34
84.65,-2.13,-2.13,-6.37,-6.37,6.37,-0.89,4.24,4.24,4.24
85.50,-2.12,-2.12,-6.26,-6.25,6.25,-0.84,4.13,4.14,4.14
86.35,-2.10,-2.10,-6.13,-6.13,6.13,-0.80,4.03,4.03,4.03
87.22,-2.07,-2.07,-5.99,-6.00,6.00,-0.73,3.93,3.92,3.92
88.09,-2.05,-2.05,-5.86,-5.86,5.86,-0.65,3.81,3.82,3.81
88.97,-2.02,-2.02,-5.72,-5.72,5.73,-0.56,3.71,3.70,3.70
89.86,-1.99,-1.99,-5.58,-5.58,5.58,-0.45,3.59,3.59,3.59
90.76,-1.96,-1.96,-5.44,-5.44,5.44,-0.31,3.48,3.48,3.48
91.66,-1.92,-1.92,-5.29,-5.29,5.29,-0.17,3.37,3.37,3.37
92.58,-1.88,-1.88,-5.13,-5.13,5.13,0.00,3.25,3.25,3.25
93.51,-1.84,-1.84,-4.98,-4.98,4.98,0.18,3.14,3.14,3.14
94.44,-1.80,-1.80,-4.82,-4.82,4.82,0.38,3.02,3.02,3.02
95.39,-1.76,-1.76,-4.66,-4.66,4.66,0.58,2.90,2.90,2.90
96.34,-1.72,-1.72,-4.50,-4.50,4.50,0.76,2.78,2.78,2.78
97.30,-1.68,-1.68,-4.34,-4.34,4.34,0.93,2.66,2.66,2.66
98.28,-1.63,-1.63,-4.17,-4.18,4.17,1.03,2.54,2.54,2.54
99.26,-1.58,-1.58,-4.00,-4.01,4.01,1.10,2.43,2.42,2.42
100.25,-1.54,-1.54,-3.84,-3.84,3.84,1.05,2.30,2.30,2.30
101.25,-1.49,-1.49,-3.67,-3.67,3.67,0.97,2.18,2.18,2.18
102.27,-1.44,-1.44,-3.50,-3.50,3.50,0.77,2.06,2.06,2.06
103.29,-1.39,-1.39,-3.33,-3.33,3.33,0.55,1.94,1.94,1.94
104.32,-1.34,-1.34,-3.16,-3.16,3.16,0.28,1.82,1.82,1.82
105.37,-1.29,-1.29,-2.99,-2.99,2.99,-0.01,1.70,1.70,1.70
106.42,-1.24,-1.24,-2.81,-2.81,2.82,-0.29,1.57,1.57,1.57
107.48,-1.19,-1.19,-2.64,-2.64,2.64,-0.58,1.45,1.45,1.45
108.56,-1.14,-1.14,-2.47,-2.47,2.47,-0.84,1.33,1.33,1.33
109.64,-1.09,-1.09,-2.30,-2.30,2.30,-1.10,1.21,1.21,1.21
110.74,-1.03,-1.03,-2.12,-2.12,2.12,-1.32,1.09,1.09,1.09
111.85,-0.98,-0.98,-1.95,-1.95,1.95,-1.54,0.97,0.97,0.97
112.97,-0.92,-0.92,-1.77,-1.77,1.77,-1.73,0.85,0.85,0.85
114.10,-0.87,-0.87,-1.60,-1.60,1.60,-1.91,0.73,0.73,0.73
115.24,-0.81,-0.81,-1.42,-1.42,1.42,-2.06,0.61,0.61,0.61
116.39,-0.75,-0.75,-1.25,-1.25,1.25,-2.22,0.50,0.50,0.50
117.55,-0.69,-0.69,-1.07,-1.07,1.08,-2.35,0.39,0.38,0.38
118.73,-0.64,-0.64,-0.91,-0.91,0.91,-2.48,0.27,0.27,0.27
119.92,-0.59,-0.59,-0.74,-0.74,0.74,-2.59,0.15,0.15,0.15
121.12,-0.54,-0.54,-0.58,-0.58,0.58,-2.71,0.04,0.04,0.04
122.33,-0.49,-0.49,-0.42,-0.42,0.42,-2.81,-0.07,-0.07,-0.07
123.55,-0.45,-0.45,-0.27,-0.27,0.27,-2.90,-0.18,-0.18,-0.18
124.79,-0.41,-0.41,-0.12,-0.12,0.12,-2.99,-0.29,-0.29,-0.29
126.03,-0.37,-0.37,0.03,0.03,-0.03,-3.08,-0.40,-0.40,-0.40
127.29,-0.33,-0.33,0.18,0.17,-0.17,-3.16,-0.50,-0.51,-0.51
128.57,-0.30,-0.30,0.31,0.32,-0.32,-3.24,-0.62,-0.61,-0.61
129.85,-0.26,-0.26,0.46,0.46,-0.46,-3.32,-0.72,-0.72,-0.72
131.15,-0.22,-0.22,0.60,0.59,-0.60,-3.39,-0.82,-0.82,-0.82
132.46,-0.19,-0.19,0.73,0.73,-0.73,-3.46,-0.92,-0.92,-0.92
133.79,-0.15,-0.15,0.87,0.87,-0.87,-3.53,-1.02,-1.02,-1.02
135.12,-0.11,-0.11,1.00,1.00,-1.00,-3.60,-1.11,-1.11,-1.11
136.48,-0.07,-0.07,1.14,1.13,-1.13,-3.66,-1.20,-1.21,-1.21
137.84,-0.04,-0.04,1.26,1.26,-1.26,-3.73,-1.30,-1.30,-1.30
139.22,-0.00,-0.00,1.39,1.39,-1.39,-3.79,-1.39,-1.39,-1.39
140.61,0.03,0.03,1.51,1.51,-1.51,-3.85,-1.48,-1.48,-1.48
142.02,0.06,0.06,1.63,1.63,-1.63,-3.91,-1.57,-1.57,-1.57
143.44,0.09,0.09,1.75,1.74,-1.74,-3.96,-1.65,-1.65,-1.66
144.87,0.11,0.11,1.85,1.85,-1.85,-4.02,-1.74,-1.74,-1.74
146.32,0.13,0.13,1.95,1.95,-1.95,-4.07,-1.82,-1.82,-1.82
147.78,0.15,0.15,2.05,2.05,-2.05,-4.13,-1.90,-1.90,-1.90
149.26,0.17,0.17,2.15,2.15,-2.15,-4.18,-1.98,-1.98,-1.98
150.75,0.18,0.18,2.24,2.24,-2.24,-4.23,-2.06,-2.06,-2.06
152.26,0.20,0.20,2.33,2.33,-2.33,-4.29,-2.13,-2.13,-2.13
153.78,0.21,0.21,2.41,2.42,-2.42,-4.34,-2.21,-2.21,-2.20
155.32,0.23,0.23,2.50,2.50,-2.50,-4.39,-2.27,-2.27,-2.27
156.88,0.25,0.25,2.59,2.59,-2.59,-4.44,-2.34,-2.34,-2.34
158.44,0.26,0.26,2.67,2.67,-2.67,-4.49,-2.41,-2.41,-2.41
160.03,0.27,0.27,2.74,2.75,-2.74,-4.53,-2.47,-2.47,-2.47
161.63,0.29,0.29,2.83,2.82,-2.82,-4.58,-2.53,-2.53,-2.54
163.24,0.30,0.30,2.90,2.89,-2.89,-4.63,-2.59,-2.59,-2.60
164.88,0.31,0.31,2.97,2.97,-2.96,-4.68,-2.65,-2.65,-2.66
166.53,0.32,0.32,3.03,3.03,-3.03,-4.72,-2.71,-2.71,-2.71
168.19,0.34,0.34,3.11,3.10,-3.10,-4.77,-2.76,-2.77,-2.77
169.87,0.35,0.35,3.17,3.17,-3.18,-4.81,-2.83,-2.82,-2.82
171.57,0.37,0.37,3.24,3.25,-3.25,-4.86,-2.88,-2.88,-2.87
173.29,0.40,0.40,3.32,3.32,-3.32,-4.90,-2.92,-2.93,-2.92
175.02,0.43,0.43,3.40,3.40,-3.40,-4.94,-2.97,-2.97,-2.97
176.77,0.46,0.46,3.48,3.48,-3.48,-4.99,-3.02,-3.02,-3.02
178.54,0.50,0.50,3.56,3.56,-3.56,-5.03,-3.06,-3.06,-3.06
180.32,0.54,0.54,3.64,3.64,-3.64,-5.07,-3.10,-3.10,-3.10
182.13,0.58,0.58,3.73,3.73,-3.72,-5.11,-3.14,-3.14,-3.15
183.95,0.62,0.62,3.80,3.80,-3.80,-5.15,-3.18,-3.18,-3.18
185.79,0.65,0.65,3.87,3.88,-3.87,-5.19,-3.22,-3.22,-3.22
187.65,0.69,0.69,3.95,3.95,-3.95,-5.23,-3.26,-3.26,-3.26
189.52,0.72,0.72,4.01,4.02,-4.02,-5.27,-3.30,-3.30,-3.29
191.42,0.76,0.76,4.09,4.09,-4.09,-5.31,-3.33,-3.33,-3.33
193.33,0.79,0.79,4.15,4.15,-4.16,-5.35,-3.37,-3.36,-3.36
195.27,0.83,0.83,4.22,4.22,-4.22,-5.38,-3.39,-3.39,-3.39
197.22,0.87,0.87,4.29,4.29,-4.29,-5.42,-3.42,-3.43,-3.42
199.19,0.91,0.91,4.36,4.36,-4.36,-5.46,-3.45,-3.45,-3.45
201.18,0.95,0.95,4.43,4.43,-4.43,-5.49,-3.48,-3.48,-3.48
203.19,1.00,1.00,4.50,4.50,-4.50,-5.53,-3.50,-3.50,-3.50
205.23,1.04,1.04,4.57,4.57,-4.57,-5.57,-3.53,-3.53,-3.53
207.28,1.08,1.08,4.63,4.64,-4.64,-5.60,-3.56,-3.55,-3.55
209.35,1.13,1.13,4.70,4.70,-4.70,-5.63,-3.57,-3.57,-3.57
211.44,1.17,1.17,4.77,4.77,-4.76,-5.67,-3.59,-3.60,-3.60
213.56,1.21,1.21,4.83,4.83,-4.83,-5.70,-3.62,-3.62,-3.62
215.69,1.25,1.25,4.88,4.89,-4.89,-5.73,-3.64,-3.63,-3.63
217.85,1.29,1.29,4.94,4.94,-4.94,-5.77,-3.65,-3.65,-3.65
220.03,1.33,1.33,5.00,5.00,-5.00,-5.80,-3.67,-3.67,-3.67
222.23,1.36,1.36,5.04,5.05,-5.05,-5.83,-3.69,-3.68,-3.68
224.45,1.40,1.40,5.10,5.10,-5.10,-5.86,-3.70,-3.70,-3.70
226.70,1.43,1.43,5.14,5.14,-5.14,-5.89,-3.71,-3.71,-3.71
228.96,1.46,1.46,5.18,5.19,-5.18,-5.92,-3.72,-3.72,-3.72
231.25,1.49,1.49,5.22,5.23,-5.22,-5.95,-3.73,-3.73,-3.73
233.57,1.52,1.52,5.27,5.26,-5.26,-5.98,-3.74,-3.75,-3.75
235.90,1.54,1.54,5.30,5.30,-5.30,-6.01,-3.76,-3.76,-3.76
238.26,1.56,1.56,5.33,5.33,-5.33,-6.03,-3.77,-3.77,-3.77
240.64,1.59,1.59,5.36,5.36,-5.36,-6.06,-3.77,-3.78,-3.77
243.05,1.61,1.61,5.39,5.39,-5.39,-6.09,-3.78,-3.78,-3.78
245.48,1.63,1.63,5.42,5.42,-5.42,-6.11,-3.79,-3.79,-3.79
247.93,1.65,1.65,5.44,5.45,-5.44,-6.14,-3.79,-3.79,-3.79
250.41,1.67,1.67,5.47,5.47,-5.47,-6.16,-3.80,-3.80,-3.80
252.92,1.69,1.69,5.49,5.49,-5.49,-6.19,-3.80,-3.80,-3.80
255.45,1.70,1.70,5.51,5.51,-5.51,-6.21,-3.81,-3.81,-3.81
258.00,1.72,1.72,5.53,5.53,-5.53,-6.23,-3.81,-3.81,-3.81
260.58,1.73,1.73,5.54,5.54,-5.54,-6.26,-3.81,-3.82,-3.81
263.19,1.74,1.74,5.56,5.56,-5.56,-6.28,-3.82,-3.82,-3.82
265.82,1.75,1.75,5.57,5.57,-5.57,-6.30,-3.82,-3.82,-3.82
268.48,1.77,1.76,5.59,5.58,-5.58,-6.32,-3.81,-3.82,-3.82
271.16,1.77,1.77,5.59,5.59,-5.59,-6.34,-3.82,-3.82,-3.82
273.87,1.78,1.78,5.60,5.60,-5.60,-6.36,-3.82,-3.82,-3.82
276.61,1.79,1.79,5.60,5.60,-5.60,-6.38,-3.81,-3.82,-3.81
279.38,1.79,1.79,5.60,5.61,-5.61,-6.40,-3.82,-3.81,-3.81
282.17,1.80,1.80,5.61,5.61,-5.61,-6.42,-3.81,-3.81,-3.81
284.99,1.80,1.80,5.61,5.61,-5.61,-6.44,-3.81,-3.81,-3.81
287.84,1.80,1.80,5.61,5.61,-5.61,-6.45,-3.81,-3.81,-3.81
290.72,1.80,1.80,5.60,5.60,-5.60,-6.47,-3.80,-3.80,-3.80
293.63,1.79,1.79,5.59,5.59,-5.59,-6.49,-3.80,-3.80,-3.80
296.57,1.79,1.79,5.59,5.58,-5.58,-6.50,-3.79,-3.80,-3.80
299.53,1.78,1.78,5.57,5.57,-5.57,-6.52,-3.79,-3.79,-3.79
302.53,1.77,1.77,5.55,5.55,-5.56,-6.53,-3.79,-3.78,-3.78
305.55,1.76,1.76,5.54,5.54,-5.54,-6.55,-3.78,-3.78,-3.78
308.61,1.75,1.75,5.52,5.52,-5.52,-6.56,-3.77,-3.77,-3.77
311.69,1.74,1.74,5.50,5.50,-5.50,-6.57,-3.76,-3.76,-3.76
314.81,1.72,1.72,5.47,5.47,-5.47,-6.58,-3.75,-3.75,-3.75
317.96,1.70,1.70,5.45,5.45,-5.45,-6.60,-3.75,-3.75,-3.75
321.14,1.68,1.68,5.42,5.42,-5.42,-6.61,-3.74,-3.74,-3.74
324.35,1.66,1.66,5.39,5.39,-5.39,-6.62,-3.73,-3.73,-3.73
327.59,1.64,1.64,5.36,5.36,-5.36,-6.63,-3.72,-3.72,-3.72
330.87,1.61,1.61,5.32,5.32,-5.32,-6.64,-3.71,-3.71,-3.71
334.18,1.58,1.58,5.28,5.29,-5.28,-6.64,-3.70,-3.70,-3.70
337.52,1.55,1.55,5.24,5.24,-5.25,-6.65,-3.70,-3.70,-3.69
340.90,1.52,1.52,5.20,5.20,-5.20,-6.66,-3.68,-3.69,-3.68
344.30,1.48,1.48,5.16,5.16,-5.16,-6.67,-3.68,-3.68,-3.68
347.75,1.45,1.45,5.11,5.11,-5.11,-6.67,-3.66,-3.66,-3.66
351.23,1.41,1.41,5.06,5.06,-5.06,-6.68,-3.65,-3.65,-3.65
354.74,1.37,1.37,5.01,5.01,-5.01,-6.68,-3.64,-3.64,-3.64
358.28,1.32,1.32,4.95,4.96,-4.96,-6.69,-3.64,-3.63,-3.63
361.87,1.28,1.28,4.90,4.90,-4.90,-6.69,-3.62,-3.62,-3.62
365.49,1.23,1.23,4.84,4.84,-4.84,-6.70,-3.61,-3.61,-3.61
369.14,1.18,1.18,4.77,4.78,-4.77,-6.70,-3.59,-3.59,-3.59
372.83,1.13,1.13,4.71,4.71,-4.71,-6.70,-3.58,-3.58,-3.58
376.56,1.07,1.07,4.64,4.64,-4.64,-6.70,-3.57,-3.57,-3.57
380.33,1.01,1.01,4.56,4.57,-4.57,-6.71,-3.56,-3.55,-3.55
384.13,0.95,0.95,4.49,4.49,-4.49,-6.71,-3.54,-3.54,-3.54
387.97,0.89,0.89,4.42,4.41,-4.41,-6.71,-3.52,-3.53,-3.53
391.85,0.82,0.82,4.33,4.33,-4.33,-6.71,-3.51,-3.51,-3.51
395.77,0.75,0.75,4.25,4.25,-4.25,-6.70,-3.50,-3.50,-3.50
399.73,0.68,0.68,4.16,4.16,-4.16,-6.70,-3.48,-3.48,-3.48
403.72,0.60,0.60,4.06,4.07,-4.07,-6.70,-3.47,-3.46,-3.46
407.76,0.53,0.53,3.98,3.97,-3.97,-6.70,-3.44,-3.44,-3.45
411.84,0.44,0.44,3.87,3.87,-3.87,-6.69,-3.43,-3.43,-3.43
415.96,0.36,0.36,3.77,3.77,-3.77,-6.69,-3.41,-3.41,-3.41
420.12,0.27,0.27,3.66,3.66,-3.66,-6.69,-3.39,-3.39,-3.39
424.32,0.18,0.18,3.55,3.56,-3.56,-6.68,-3.38,-3.37,-3.37
428.56,0.09,0.09,3.45,3.45,-3.45,-6.68,-3.36,-3.36,-3.36
432.85,0.00,-0.00,3.34,3.33,-3.33,-6.67,-3.33,-3.33,-3.34
437.18,-0.10,-0.10,3.22,3.22,-3.22,-6.66,-3.32,-3.31,-3.32
441.55,-0.19,-0.19,3.11,3.10,-3.10,-6.65,-3.29,-3.29,-3.30
445.96,-0.29,-0.29,2.99,2.98,-2.98,-6.65,-3.27,-3.28,-3.28
450.42,-0.39,-0.39,2.87,2.87,-2.87,-6.64,-3.26,-3.26,-3.26
