frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
76.63,-2.02,-2.02,-6.33,-6.32,6.33,1.29,4.31,4.31,4.31
77.40,-2.05,-2.05,-6.28,-6.28,6.28,1.25,4.23,4.23,4.23
78.17,-2.08,-2.08,-6.23,-6.24,6.23,1.21,4.15,4.15,4.15
78.95,-2.11,-2.10,-6.19,-6.18,6.18,1.17,4.07,4.08,4.08
79.74,-2.12,-2.13,-6.12,-6.12,6.12,1.13,4.00,4.00,4.00
80.54,-2.14,-2.14,-6.06,-6.06,6.06,1.08,3.92,3.92,3.92
81.35,-2.15,-2.15,-5.98,-5.98,5.98,1.03,3.83,3.84,3.83
82.16,-2.15,-2.15,-5.91,-5.91,5.91,0.98,3.76,3.75,3.76
82.98,-2.15,-2.15,-5.83,-5.82,5.82,0.93,3.67,3.67,3.68
83.81,-2.14,-2.14,-5.73,-5.73,5.73,0.88,3.59,3.59,3.59
84.65,-2.13,-2.13,-5.64,-5.64,5.64,0.83,3.51,3.50,3.51
85.50,-2.12,-2.12,-5.54,-5.54,5.54,0.77,3.42,3.42,3.42
86.35,-2.10,-2.10,-5.43,-5.43,5.43,0.72,3.33,3.33,3.33
87.22,-2.07,-2.07,-5.32,-5.32,5.32,0.66,3.25,3.25,3.25
88.09,-2.05,-2.05,-5.21,-5.21,5.21,0.60,3.16,3.16,3.16
88.97,-2.02,-2.02,-5.09,-5.10,5.10,0.54,3.08,3.08,3.07
89.86,-1.99,-1.99,-4.98,-4.98,4.98,0.48,2.99,2.99,2.99
90.76,-1.96,-1.96,-4.86,-4.86,4.85,0.42,2.89,2.90,2.90
91.66,-1.92,-1.92,-4.73,-4.73,4.73,0.35,2.81,2.81,2.81
92.58,-1.88,-1.88,-4.60,-4.60,4.60,0.28,2.72,2.72,2.72
93.51,-1.84,-1.84,-4.47,-4.47,4.48,0.22,2.64,2.64,2.63
94.44,-1.80,-1.80,-4.35,-4.34,4.35,0.15,2.55,2.55,2.55
95.39,-1.76,-1.76,-4.21,-4.21,4.21,0.08,2.45,2.45,2.45
96.34,-1.72,-1.72,-4.08,-4.08,4.08,0.00,2.36,2.36,2.36
97.30,-1.68,-1.68,-3.95,-3.95,3.95,-0.07,2.27,2.27,2.27
98.28,-1.63,-1.63,-3.82,-3.82,3.81,-0.15,2.18,2.18,2.18
99.26,-1.58,-1.58,-3.68,-3.68,3.68,-0.22,2.10,2.09,2.10
100.25,-1.54,-1.54,-3.54,-3.54,3.54,-0.30,2.00,2.00,2.00
101.25,-1.49,-1.49,-3.40,-3.40,3.40,-0.38,1.91,1.91,1.91
102.27,-1.44,-1.44,-3.26,-3.26,3.26,-0.46,1.82,1.82,1.82
103.29,-1.39,-1.39,-3.12,-3.12,3.12,-0.55,1.73,1.73,1.73
104.32,-1.34,-1.34,-2.99,-2.99,2.99,-0.63,1.65,1.65,1.65
105.37,-1.29,-1.29,-2.85,-2.85,2.85,-0.72,1.56,1.56,1.56
106.42,-1.24,-1.24,-2.71,-2.71,2.71,-0.80,1.47,1.47,1.47
107.48,-1.19,-1.19,-2.57,-2.57,2.57,-0.89,1.38,1.38,1.38
108.56,-1.14,-1.14,-2.44,-2.44,2.43,-0.98,1.29,1.30,1.30
109.64,-1.09,-1.09,-2.30,-2.30,2.30,-1.07,1.21,1.21,1.21
110.74,-1.03,-1.03,-2.15,-2.16,2.16,-1.17,1.13,1.12,1.12
111.85,-0.98,-0.98,-2.02,-2.02,2.02,-1.26,1.04,1.04,1.04
112.97,-0.92,-0.92,-1.87,-1.88,1.87,-1.36,0.95,0.95,0.95
114.10,-0.87,-0.87,-1.74,-1.74,1.73,-1.45,0.86,0.86,0.87
115.24,-0.81,-0.81,-1.59,-1.59,1.59,-1.55,0.78,0.78,0.78
116.39,-0.75,-0.75,-1.45,-1.45,1.45,-1.65,0.70,0.70,0.70
117.55,-0.69,-0.69,-1.31,-1.31,1.31,-1.75,0.62,0.62,0.62
118.73,-0.64,-0.64,-1.18,-1.18,1.18,-1.85,0.54,0.54,0.54
119.92,-0.59,-0.59,-1.05,-1.04,1.05,-1.96,0.46,0.46,0.46
121.12,-0.54,-0.54,-0.91,-0.92,0.92,-2.06,0.38,0.38,0.37
122.33,-0.49,-0.49,-0.79,-0.79,0.79,-2.17,0.30,0.30,0.30
123.55,-0.45,-0.45,-0.68,-0.67,0.67,-2.27,0.22,0.23,0.23
124.79,-0.41,-0.41,-0.56,-0.56,0.56,-2.38,0.15,0.15,0.15
126.03,-0.37,-0.37,-0.44,-0.44,0.44,-2.49,0.07,0.07,0.07
127.29,-0.33,-0.33,-0.33,-0.33,0.33,-2.60,0.00,-0.00,0.00
128.57,-0.30,-0.30,-0.23,-0.22,0.22,-2.71,-0.08,-0.07,-0.07
129.85,-0.26,-0.26,-0.11,-0.11,0.11,-2.82,-0.15,-0.15,-0.15
131.15,-0.22,-0.22,0.00,-0.01,0.00,-2.93,-0.22,-0.22,-0.22
132.46,-0.19,-0.19,0.09,0.10,-0.10,-3.05,-0.29,-0.29,-0.28
133.79,-0.15,-0.15,0.20,0.21,-0.21,-3.16,-0.36,-0.36,-0.35
135.12,-0.11,-0.11,0.32,0.31,-0.31,-3.28,-0.42,-0.42,-0.43
136.48,-0.07,-0.07,0.42,0.42,-0.41,-3.39,-0.48,-0.49,-0.49
137.84,-0.04,-0.04,0.51,0.52,-0.51,-3.51,-0.55,-0.55,-0.55
139.22,-0.00,-0.00,0.61,0.61,-0.61,-3.63,-0.61,-0.61,-0.61
140.61,0.03,0.03,0.71,0.71,-0.70,-3.74,-0.67,-0.67,-0.68
142.02,0.06,0.06,0.79,0.80,-0.79,-3.86,-0.73,-0.73,-0.73
143.44,0.09,0.09,0.89,0.88,-0.88,-3.98,-0.79,-0.79,-0.80
144.87,0.11,0.11,0.96,0.96,-0.96,-4.10,-0.85,-0.85,-0.85
146.32,0.13,0.13,1.04,1.04,-1.04,-4.22,-0.91,-0.91,-0.91
147.78,0.15,0.15,1.11,1.11,-1.11,-4.34,-0.96,-0.96,-0.96
149.26,0.17,0.17,1.19,1.19,-1.18,-4.46,-1.01,-1.02,-1.02
150.75,0.18,0.18,1.25,1.25,-1.25,-4.58,-1.07,-1.07,-1.07
152.26,0.20,0.20,1.32,1.32,-1.32,-4.70,-1.12,-1.12,-1.12
153.78,0.21,0.21,1.38,1.38,-1.38,-4.82,-1.17,-1.17,-1.17
155.32,0.23,0.23,1.45,1.45,-1.45,-4.94,-1.22,-1.22,-1.22
156.88,0.25,0.25,1.51,1.51,-1.51,-5.06,-1.26,-1.26,-1.26
158.44,0.26,0.26,1.57,1.57,-1.57,-5.18,-1.31,-1.30,-1.31
160.03,0.27,0.27,1.62,1.62,-1.62,-5.30,-1.35,-1.35,-1.35
161.63,0.29,0.29,1.68,1.68,-1.68,-5.42,-1.39,-1.39,-1.39
163.24,0.30,0.30,1.73,1.73,-1.73,-5.54,-1.43,-1.43,-1.43
164.88,0.31,0.31,1.78,1.78,-1.78,-5.66,-1.47,-1.47,-1.47
166.53,0.32,0.32,1.83,1.83,-1.83,-5.77,-1.51,-1.51,-1.51
168.19,0.34,0.34,1.88,1.88,-1.88,-5.89,-1.54,-1.54,-1.54
169.87,0.35,0.35,1.93,1.93,-1.93,-6.01,-1.58,-1.58,-1.58
171.57,0.37,0.37,1.98,1.98,-1.98,-6.12,-1.61,-1.61,-1.61
173.29,0.40,0.40,2.04,2.04,-2.04,-6.23,-1.64,-1.64,-1.64
175.02,0.43,0.43,2.10,2.10,-2.10,-6.35,-1.67,-1.67,-1.67
176.77,0.46,0.46,2.15,2.16,-2.16,-6.46,-1.70,-1.70,-1.69
178.54,0.50,0.50,2.22,2.22,-2.22,-6.56,-1.72,-1.72,-1.72
180.32,0.54,0.54,2.29,2.29,-2.28,-6.67,-1.74,-1.74,-1.75
182.13,0.58,0.58,2.35,2.35,-2.35,-6.78,-1.77,-1.77,-1.77
183.95,0.62,0.62,2.41,2.41,-2.41,-6.88,-1.79,-1.79,-1.79
185.79,0.65,0.65,2.47,2.47,-2.47,-6.98,-1.82,-1.81,-1.82
187.65,0.69,0.69,2.53,2.52,-2.52,-7.08,-1.83,-1.84,-1.84
189.52,0.72,0.72,2.58,2.58,-2.58,-7.17,-1.86,-1.86,-1.86
191.42,0.76,0.76,2.63,2.63,-2.63,-7.27,-1.87,-1.88,-1.87
193.33,0.79,0.79,2.68,2.68,-2.69,-7.36,-1.90,-1.89,-1.89
195.27,0.83,0.83,2.74,2.74,-2.74,-7.44,-1.91,-1.91,-1.91
197.22,0.87,0.87,2.79,2.79,-2.79,-7.53,-1.92,-1.92,-1.92
199.19,0.91,0.91,2.84,2.84,-2.84,-7.61,-1.93,-1.93,-1.93
201.18,0.95,0.95,2.89,2.89,-2.90,-7.68,-1.95,-1.94,-1.94
203.19,1.00,1.00,2.96,2.95,-2.95,-7.75,-1.95,-1.95,-1.95
205.23,1.04,1.04,3.00,3.00,-3.00,-7.82,-1.96,-1.96,-1.96
207.28,1.08,1.08,3.05,3.05,-3.05,-7.89,-1.97,-1.97,-1.97
209.35,1.13,1.13,3.11,3.10,-3.10,-7.94,-1.97,-1.97,-1.98
211.44,1.17,1.17,3.15,3.15,-3.15,-8.00,-1.98,-1.98,-1.98
213.56,1.21,1.21,3.19,3.19,-3.19,-8.05,-1.98,-1.98,-1.98
215.69,1.25,1.25,3.23,3.23,-3.24,-8.10,-1.99,-1.99,-1.98
217.85,1.29,1.29,3.28,3.28,-3.28,-8.14,-1.99,-1.99,-1.99
220.03,1.33,1.33,3.32,3.32,-3.32,-8.17,-1.99,-1.99,-1.99
222.23,1.36,1.36,3.35,3.35,-3.35,-8.20,-1.99,-1.99,-1.99
224.45,1.40,1.40,3.39,3.39,-3.38,-8.23,-1.98,-1.99,-1.99
226.70,1.43,1.43,3.41,3.41,-3.42,-8.25,-1.99,-1.99,-1.98
228.96,1.46,1.46,3.44,3.44,-3.44,-8.27,-1.98,-1.98,-1.98
231.25,1.49,1.49,3.47,3.47,-3.47,-8.27,-1.98,-1.98,-1.98
233.57,1.52,1.52,3.50,3.49,-3.49,-8.28,-1.97,-1.97,-1.98
235.90,1.54,1.54,3.51,3.51,-3.51,-8.28,-1.97,-1.97,-1.97
238.26,1.56,1.56,3.52,3.53,-3.53,-8.27,-1.97,-1.96,-1.96
240.64,1.59,1.59,3.54,3.54,-3.54,-8.26,-1.95,-1.95,-1.95
243.05,1.61,1.61,3.55,3.55,-3.56,-8.25,-1.95,-1.95,-1.94
245.48,1.63,1.63,3.57,3.56,-3.57,-8.23,-1.94,-1.94,-1.94
247.93,1.65,1.65,3.57,3.58,-3.58,-8.20,-1.93,-1.92,-1.92
250.41,1.67,1.67,3.58,3.58,-3.58,-8.17,-1.91,-1.91,-1.91
252.92,1.69,1.69,3.59,3.59,-3.59,-8.14,-1.90,-1.90,-1.90
255.45,1.70,1.70,3.59,3.60,-3.59,-8.10,-1.89,-1.89,-1.89
258.00,1.72,1.72,3.60,3.60,-3.59,-8.06,-1.87,-1.88,-1.88
260.58,1.73,1.73,3.60,3.59,-3.59,-8.01,-1.86,-1.87,-1.87
263.19,1.74,1.74,3.59,3.59,-3.59,-7.96,-1.85,-1.85,-1.85
265.82,1.75,1.75,3.58,3.59,-3.59,-7.91,-1.84,-1.83,-1.83
268.48,1.77,1.76,3.59,3.58,-3.58,-7.85,-1.81,-1.82,-1.82
271.16,1.77,1.77,3.57,3.58,-3.58,-7.79,-1.81,-1.80,-1.80
273.87,1.78,1.78,3.56,3.57,-3.57,-7.72,-1.79,-1.79,-1.78
276.61,1.79,1.79,3.56,3.55,-3.56,-7.66,-1.77,-1.77,-1.77
279.38,1.79,1.79,3.54,3.54,-3.54,-7.59,-1.75,-1.75,-1.75
282.17,1.80,1.80,3.53,3.53,-3.53,-7.51,-1.73,-1.73,-1.73
284.99,1.80,1.80,3.52,3.51,-3.51,-7.44,-1.71,-1.71,-1.72
287.84,1.80,1.80,3.50,3.49,-3.49,-7.36,-1.69,-1.69,-1.70
290.72,1.80,1.80,3.47,3.47,-3.47,-7.28,-1.67,-1.67,-1.67
293.63,1.79,1.79,3.44,3.45,-3.45,-7.20,-1.66,-1.65,-1.65
296.57,1.79,1.79,3.43,3.42,-3.42,-7.12,-1.63,-1.63,-1.64
299.53,1.78,1.78,3.39,3.39,-3.39,-7.04,-1.61,-1.61,-1.61
302.53,1.77,1.77,3.36,3.36,-3.36,-6.95,-1.59,-1.59,-1.59
305.55,1.76,1.76,3.33,3.33,-3.33,-6.86,-1.57,-1.57,-1.57
308.61,1.75,1.75,3.30,3.30,-3.30,-6.78,-1.55,-1.55,-1.55
311.69,1.74,1.74,3.26,3.26,-3.26,-6.69,-1.52,-1.52,-1.52
314.81,1.72,1.72,3.23,3.22,-3.22,-6.60,-1.50,-1.50,-1.51
317.96,1.70,1.70,3.18,3.18,-3.18,-6.51,-1.48,-1.48,-1.48
321.14,1.68,1.68,3.14,3.14,-3.14,-6.42,-1.46,-1.46,-1.46
324.35,1.66,1.66,3.10,3.10,-3.10,-6.33,-1.44,-1.44,-1.44
327.59,1.64,1.64,3.05,3.05,-3.05,-6.24,-1.41,-1.41,-1.41
330.87,1.61,1.61,3.00,3.00,-3.00,-6.15,-1.39,-1.39,-1.39
334.18,1.58,1.58,2.95,2.95,-2.95,-6.06,-1.37,-1.37,-1.37
337.52,1.55,1.55,2.90,2.90,-2.90,-5.98,-1.35,-1.35,-1.35
340.90,1.52,1.52,2.84,2.84,-2.84,-5.89,-1.32,-1.32,-1.32
344.30,1.48,1.48,2.78,2.78,-2.78,-5.80,-1.30,-1.30,-1.30
347.75,1.45,1.45,2.72,2.72,-2.72,-5.71,-1.27,-1.27,-1.27
351.23,1.41,1.41,2.66,2.66,-2.66,-5.62,-1.25,-1.25,-1.25
354.74,1.37,1.37,2.59,2.59,-2.59,-5.54,-1.22,-1.22,-1.22
358.28,1.32,1.32,2.52,2.53,-2.53,-5.45,-1.21,-1.20,-1.20
361.87,1.28,1.28,2.46,2.45,-2.46,-5.37,-1.18,-1.18,-1.18
365.49,1.23,1.23,2.38,2.38,-2.38,-5.28,-1.15,-1.15,-1.15
369.14,1.18,1.18,2.31,2.31,-2.31,-5.20,-1.13,-1.13,-1.13
372.83,1.13,1.13,2.24,2.23,-2.23,-5.12,-1.10,-1.10,-1.11
376.56,1.07,1.07,2.15,2.15,-2.15,-5.04,-1.08,-1.08,-1.08
380.33,1.01,1.01,2.06,2.07,-2.07,-4.96,-1.06,-1.05,-1.05
384.13,0.95,0.95,1.98,1.98,-1.98,-4.88,-1.03,-1.03,-1.03
387.97,0.89,0.89,1.89,1.89,-1.89,-4.81,-1.00,-1.00,-1.00
391.85,0.82,0.82,1.80,1.80,-1.80,-4.73,-0.98,-0.98,-0.98
395.77,0.75,0.75,1.70,1.70,-1.71,-4.66,-0.96,-0.95,-0.95
399.73,0.68,0.68,1.61,1.61,-1.61,-4.59,-0.93,-0.93,-0.93
403.72,0.60,0.60,1.51,1.51,-1.51,-4.52,-0.91,-0.91,-0.91
407.76,0.53,0.53,1.42,1.41,-1.41,-4.45,-0.88,-0.88,-0.89
411.84,0.44,0.44,1.30,1.30,-1.30,-4.39,-0.86,-0.86,-0.86
415.96,0.36,0.36,1.19,1.19,-1.19,-4.32,-0.83,-0.83,-0.83
420.12,0.27,0.27,1.08,1.08,-1.08,-4.26,-0.81,-0.81,-0.81
424.32,0.18,0.18,0.96,0.97,-0.97,-4.20,-0.79,-0.79,-0.78
428.56,0.09,0.09,0.85,0.85,-0.85,-4.15,-0.76,-0.76,-0.76
432.85,0.00,-0.00,0.74,0.73,-0.73,-4.09,-0.73,-0.73,-0.74
437.18,-0.10,-0.10,0.61,0.62,-0.61,-4.04,-0.71,-0.71,-0.71
441.55,-0.19,-0.19,0.49,0.49,-0.49,-3.98,-0.68,-0.69,-0.68
445.96,-0.29,-0.29,0.37,0.37,-0.37,-3.94,-0.66,-0.66,-0.66
450.42,-0.39,-0.39,0.25,0.25,-0.25,-3.89,-0.64,-0.64,-0.64
454.93,-0.49,-0.49,0.13,0.13,-0.13,-3.84,-0.62,-0.62,-0.62
459.48,-0.58,-0.58,0.02,0.01,-0.01,-3.80,-0.59,-0.59,-0.60
